tensor(-0.1396, grad_fn=<CopyBackwards>)
tensor(-3.8975e-05, grad_fn=<CopyBackwards>)
tensor(-0.0044, grad_fn=<CopyBackwards>)
tensor(-0.0486, grad_fn=<CopyBackwards>)
tensor(-0.0526, grad_fn=<CopyBackwards>)
tensor(-0.0065, grad_fn=<CopyBackwards>)
tensor(-0.0005, grad_fn=<CopyBackwards>)
tensor(-0.0033, grad_fn=<CopyBackwards>)
tensor(-0.0024, grad_fn=<CopyBackwards>)
tensor(-0.0027, grad_fn=<CopyBackwards>)
tensor(-7.3313e-05, grad_fn=<CopyBackwards>)
tensor(-0.0019, grad_fn=<CopyBackwards>)
tensor(-0.0005, grad_fn=<CopyBackwards>)
tensor(-0.0588, grad_fn=<CopyBackwards>)
tensor(-0.0103, grad_fn=<CopyBackwards>)
tensor(-0.0158, grad_fn=<CopyBackwards>)
tensor(-0.4873, grad_fn=<CopyBackwards>)
tensor(-0.0094, grad_fn=<CopyBackwards>)
tensor(-0.0001, grad_fn=<CopyBackwards>)
tensor(-0.0157, grad_fn=<CopyBackwards>)
tensor(-0.0002, grad_fn=<CopyBackwards>)
tensor(-0.1819, grad_fn=<CopyBackwards>)
tensor(-0.0020, grad_fn=<CopyBackwards>)
tensor(-0.1636, grad_fn=<CopyBackwards>)
tensor(-0.0014, grad_fn=<CopyBackwards>)
tensor(-0.0011, grad_fn=<CopyBackwards>)
tensor(-0.0004, grad_fn=<CopyBackwards>)
tensor(-0.0014, grad_fn=<CopyBackwards>)
tensor(-0.0002, grad_fn=<CopyBackwards>)
tensor(-0.0004, grad_fn=<CopyBackwards>)
tensor(-0.0002, grad_fn=<CopyBackwards>)
tensor(-0.0010, grad_fn=<CopyBackwards>)
tensor(-0.0202, grad_fn=<CopyBackwards>)
tensor(-0.0132, grad_fn=<CopyBackwards>)
tensor(-0.0031, grad_fn=<CopyBackwards>)
tensor(-0.0439, grad_fn=<CopyBackwards>)
tensor(-0.0110, grad_fn=<CopyBackwards>)
tensor(-0.0098, grad_fn=<CopyBackwards>)
tensor(-0.0009, grad_fn=<CopyBackwards>)
tensor(-0.0268, grad_fn=<CopyBackwards>)
